feature,importance
support_ticket_rate,0.08561132198677907
account_age_months,0.08454619672246358
monthly_transaction_volume,0.06733357024528046
integration_density,0.06492908128193861
contract_months_remaining,0.0597492120577547
feature_adoption_score,0.05973177414154891
revenue_monthly,0.05296696062965117
transaction_value_ratio,0.04726404717409503
revenue_per_user,0.040629653828620944
avg_transaction_value,0.040267664365389824
api_calls_per_month,0.039439010392125357
api_calls_per_user,0.03747039041664495
num_active_users,0.03690943191584535
contract_risk,0.029582264680682077
new_customer,0.02844760119528892
engagement_score,0.02582434909238974
days_since_last_login,0.0249679070007552
support_tickets_6m,0.02421684951715118
product_tier,0.02396577624157871
num_integrations,0.023784226829981662
